*SOIL TEMPERATURE OUTPUT FILE (DAILY)

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  JUN 10, 2021 14:49:00

*RUN   1        : 20 IRRIG, light rate,freq MZCER047 KSRT2001    1
 MODEL          : MZCER047 - Maize
 EXPERIMENT     : KSRT2001 SB ARM 2020 KS, IRRIGATED & NON-IRRIGATED
 DATA PATH      :
 TREATMENT  1   : 20 IRRIG, light rate,freq MZCER047
  
! TAV  =    20.9
! TAMP =    13.4
!               Temperature (oC) by soil depth (cm):
!               Surface     0-5    5-15   15-29   29-43   43-53   53-64  64-132 132-201
@YEAR DOY   DAS    TS0D    TS1D    TS2D    TS3D    TS4D    TS5D    TS6D    TS7D    TS8D    
 2020 245   116    27.3    27.3    27.2    27.1    27.0    26.8    26.7    26.2    25.2
 2020 246   117    26.3    26.3    26.3    26.3    26.2    26.1    26.0    25.6    24.8
 2020 247   118    26.7    26.7    26.6    26.6    26.5    26.4    26.3    25.9    25.0
 2020 248   119    26.3    26.3    26.3    26.3    26.2    26.1    26.0    25.6    24.8
 2020 249   120    27.9    27.9    27.8    27.7    27.5    27.4    27.3    26.7    25.7
 2020 250   121    29.9    29.8    29.7    29.5    29.3    29.1    28.9    28.1    26.7
 2020 251   122    30.4    30.4    30.2    30.0    29.7    29.5    29.3    28.5    27.0
 2020 252   123    28.0    27.9    27.9    27.8    27.6    27.5    27.4    26.8    25.8
 2020 253   124    23.1    23.1    23.2    23.3    23.4    23.5    23.5    23.5    23.3
 2020 254   125    18.8    18.9    19.1    19.4    19.7    19.9    20.1    20.6    21.1
 2020 255   126    16.0    16.1    16.4    16.8    17.3    17.6    17.9    18.8    19.7
 2020 256   127    14.9    15.0    15.3    15.8    16.3    16.7    17.0    18.0    19.1
 2020 257   128    17.5    17.6    17.9    18.2    18.6    18.9    19.2    19.9    20.5
 2020 258   129    21.6    21.6    21.8    22.0    22.1    22.3    22.4    22.6    22.7
 2020 259   130    24.6    24.6    24.7    24.8    24.8    24.8    24.8    24.7    24.3
 2020 260   131    25.7    25.7    25.7    25.7    25.7    25.7    25.7    25.5    24.9
 2020 261   132    25.3    25.3    25.4    25.4    25.4    25.4    25.4    25.2    24.7
 2020 262   133    25.0    25.0    25.0    25.1    25.1    25.1    25.1    25.0    24.6
 2020 263   134    25.1    25.1    25.1    25.2    25.2    25.2    25.2    25.1    24.6
 2020 264   135    25.5    25.5    25.6    25.6    25.6    25.6    25.6    25.4    24.9
 2020 265   136    25.9    25.9    25.9    25.9    25.9    25.9    25.9    25.7    25.1
 2020 266   137    26.2    26.2    26.3    26.3    26.3    26.2    26.2    26.0    25.3
 2020 267   138    26.6    26.6    26.6    26.6    26.6    26.6    26.5    26.2    25.5
 2020 268   139    27.7    27.7    27.7    27.7    27.6    27.5    27.4    27.0    26.1
 2020 269   140    28.8    28.8    28.7    28.6    28.5    28.4    28.2    27.7    26.7
 2020 270   141    29.6    29.6    29.5    29.4    29.2    29.0    28.9    28.3    27.2
 2020 271   142    28.6    28.6    28.5    28.5    28.3    28.2    28.1    27.6    26.7
 2020 272   143    26.9    26.9    26.9    26.9    26.9    26.8    26.8    26.5    25.8
 2020 273   144    25.7    25.7    25.7    25.8    25.8    25.8    25.8    25.7    25.2
 2020 274   145    23.7    23.8    23.9    24.0    24.1    24.2    24.3    24.4    24.2
 2020 275   146    21.3    21.3    21.5    21.8    22.0    22.2    22.3    22.7    23.0
 2020 276   147    21.5    21.6    21.8    22.0    22.2    22.4    22.5    22.9    23.1
 2020 277   148    21.7    21.8    22.0    22.2    22.4    22.6    22.7    23.1    23.2
